Name,Location,Category,Bio URL,Latitude,Longitude
Alejandro Castañeda,"Medellín, Colombia",Dev Tools Builder since 2023,https://alejo.awslearn.cloud/,6.2697324,-75.6025597
Alejandro Figueroa,"Bogotá, Colombia",Data Builder since 2023,https://medium.com/@1alejofig1,4.7110053,-74.0720857
Alejandro Lazaro Chueca,"Zaragoza, Spain",Security Builder since 2022,https://www.linkedin.com/in/alejandro-lazaro-chueca/,41.6521342,-0.8809428
Alejandro Velez,"Medellin, Colombia",Dev Tools Builder since 2023,https://www.linkedin.com/in/alejandro-velez-12aaa0115/,6.2697324,-75.6025597
Aleksander Patschek,"Katowice, Poland",Front-End Web & Mobile Builder since 2022,https://links.fsgeek.pl/,50.2598987,19.0215852
Aleksandr Krasnov,"Vancouver, Canada",Security Builder since 2023,https://www.linkedin.com/in/alekkras,49.2608724,-123.113952
Aleksandra Drobnjak,Serbia,Security Builder since 2024,https://www.linkedin.com/in/aleksandra-drobnjak,44.0243229,21.0765743
Aleksandra Ljuboje,"Sarajevo, Bosnia and Herzegovina",Network Content & Delivery Builder since 2023,https://www.linkedin.com/in/aleksandra-ljuboje-023864235/,43.8519774,18.3866868
Aleksey Beloliptsev,"Almaty, Kazakhstan",Containers Builder since 2020,https://www.linkedin.com/in/abeloliptsev/,43.2363924,76.9457275
Alessandro Marino,Italy,Containers Builder since 2023,https://alessandromarinoac.com/,42.6384261,12.674297
Alex Bzdel,"Boston, USA",Machine Learning Builder since 2023,https://abzdel.github.io/,42.3554334,-71.060511
Alex Cheng,"Hong Kong, Hong Kong",Machine Learning Builder since 2021,https://www.linkedin.com/in/alexcheng852/,22.2793278,114.1628131
Alex Kates,"Philadelphia, USA",Serverless Builder since 2020,https://alexkates.dev,39.9527237,-75.1635262
Alex Kearns,United Kingdom,Serverless Builder since 2022,https://www.alexkearns.co.uk,54.7023545,-3.2765753
Alex Patterson,"Grand Rapids, USA",Front-End Web & Mobile Builder since 2020,https://alexpatterson.dev,42.9632425,-85.6678639
Alex Radu,"Glasgow, Scotland",Cloud Operations Builder since 2022,https://www.linkedin.com/mwlite/in/maradu,55.861155,-4.2501687
Alex Rodríguez Fernández,"Barcelona, Spain",Cloud Operations Builder since 2024,https://www.linkedin.com/in/alexrodriguezfernandez/,41.3828939,2.1774322
Alex White,"Sydney, Australia",Serverless Builder since 2021,https://www.linkedin.com/in/agwhi/,-33.8698439,151.2082848
Alexander Bolaño Cervantes,"Bogotá, Colombia",Data Builder since 2022,https://www.linkedin.com/in/alexanderbolano/,4.7110053,-74.0720857
Alexander Hose,"Frankfurt, Germany",Security Builder since 2023,https://alexanderhose.com/,50.1106444,8.6820917
Alexander Nicholson,"Tokyo, Japan",Containers Builder since 2022,https://alexander.town/,35.6768601,139.7638947
Alexander Rey,"Ottawa, Canada",Serverless Builder since 2023,https://alexanderrey.ca/,45.4208777,-75.6901106
Alexander Spoecker,"Chiang Mai, Thailand",Serverless Builder since 2022,https://www.linkedin.com/in/alexander-spoecker/,18.7882778,98.9858802
Alexandra Fernandez,USA,Machine Learning Builder since 2023,https://www.linkedin.com/in/alexandra-fernandezg/,39.7837304,-100.445882
Alexandre Bruffa,"Lima, Peru",Serverless Builder since 2023,https://alexandrebruffa.com/,-11.967575,-77.0113689
Alexandre Gusson,"Sao Paulo, Brazil",Security Builder since 2022,https://www.linkedin.com/in/alexandre-gusson-36283117b,-23.5506507,-46.6333824
Alexandre Lopes,"Belo Horizonte, Brazil",Data Builder since 2021,https://www.linkedin.com/in/alexandreaslopes,-19.9227318,-43.9450948
Alexandru Dejanu,"Bucharest, Romania",Dev Tools Builder since 2022,https://twitter.com/dejanualex,44.4361414,26.1027202
Alexey Vidanov,"Hamburg, Germany",Data Builder since 2024,https://www.linkedin.com/in/vidanov/,53.550341,10.000654
Alexis Alvarez,"Trujillo, Perú",Data Builder since 2022,https://www.linkedin.com/in/alexistic/,39.474634,-5.8578603
Alexis Araujo,"Mexico City, Mexico",Data Builder since 2023,https://www.linkedin.com/in/alexisaraujo/,19.3207722,-99.1514678
Alexis Polo,"Guayaquil, Ecuador",Dev Tools Builder since 2022,https://www.linkedin.com/in/alexispolo/,-2.1990477,-79.8879772
Alexy Grabov,"Beer-Sheva, Israel",Serverless Builder since 2024,https://www.linkedin.com/in/alexygrabov/,31.2457442,34.7925181
Alexy Pulivelil,"Kerala, India",Containers Builder since 2021,https://www.linkedin.com/in/alexypulivelil/,10.1295438,76.4848521
Ali Haydar,"Auckland, New Zealand",Serverless Builder since 2021,https://www.linkedin.com/in/ahaydar,-36.852095,174.7631803
Ali Jafri,United Kingdom,Front-End Web & Mobile Builder since 2022,https://www.linkedin.com/in/aliajafri/,54.7023545,-3.2765753
Ali Yigit Ogun,"Warsaw, Poland",Storage Builder since 2022,https://www.linkedin.com/in/yigitaliogun/,52.2337172,21.0714322
Aliaksandr Dounar,"Minsk, Belarus",Containers Builder since 2021,https://alexander-dovnar.me,53.9154648,27.5508093
Alice Thomaz,Brazil,Storage Builder since 2023,https://www.linkedin.com/in/alice-thomaz-b6b52b14a/,-10.3333333,-53.2
Aliraza Khan,"Mumbai, India",Cloud Operations Builder since 2023,https://www.linkedin.com/in/aliraza-khan-9a1b95184/,19.054999,72.8692035
Allan Chua,"Singapore, Singapore",Serverless Builder since 2022,https://www.linkedin.com/in/allan-chua-467402103/,1.357107,103.8194992
Almeida de Almeida,"Maputo, Mozambique",Network Content & Delivery Builder since 2022,https://almeidadealmeida.com/,-25.966213,32.56745
Alok Kumar,"Noida, India",Dev Tools Builder since 2022,https://youtube.com/c/AlokKumar-CloudKeFunde,28.5706333,77.3272147
Alondra Warren,"Palm Springs, USA",Storage Builder since 2023,https://medium.com/@daisydocuments,33.8246269,-116.540303
Alonso Suarez,"Vancouver, Canada",Serverless Builder since 2024,https://ca.linkedin.com/in/alonsosuarez,49.2608724,-123.113952
Alvin Johansson,"Örebro, Sweden",Serverless Builder since 2024,https://www.linkedin.com/in/alvin-johansson/,59.2747287,15.2151181
Amador Criado,"Barcelona, Spain",Serverless Builder since 2021,https://www.linkedin.com/in/amador-criado-48617415/,41.3828939,2.1774322
Amal K Abraham,"Bangalore, India",Network Content & Delivery Builder since 2022,https://www.linkedin.com/in/amal-abraham-55415539/,12.9881567,77.6226
Aman Makwana,"Rajkot, India",Storage Builder since 2021,https://amanmakwana,22.3053263,70.8028377
Aman Pathak,"Delhi, India",Cloud Operations Builder since 2023,https://www.linkedin.com/in/aman-devops,28.6273928,77.1716954
Amanda Quint,"Springfield, USA",Dev Tools Builder since 2022,https://amandaquint.dev,39.7990175,-89.6439575
Amandeep Singh,India,Front-End Web & Mobile Builder since 2023,https://www.linkedin.com/in/amandeep-singh-bajwa/,22.3511148,78.6677428
Amardeep Singh,Canada,Machine Learning Builder since 2020,https://www.linkedin.com/in/amardeep-s-70a471a3/,61.0666922,-107.991707
Amarjit Dhillon,"Toronto, Canada",Containers Builder since 2024,https://www.linkedin.com/in/amaardhillon/,43.6534817,-79.3839347
Amaury Borges Souza,"Monte Mor, São Paulo, Brazil",Containers Builder since 2023,https://www.linkedin.com/in/amaurybsouza/,-22.945043,-47.312182
Amelia Hough-Ross,"Columbia, USA",Machine Learning Builder since 2023,https://www.linkedin.com/in/ameliahoughross/,34.000754,-81.0352313
Amila Kumaranayaka,"Dortmund, Sri Lanka",Graviton Arm Builder since 2021,https://www.linkedin.com/in/amila-kumaranayaka,,
Amina Ibrahim,"Jeddah, Saudi Arabia",Security Builder since 2024,https://dev.to/aminabrhm4,21.5504432,39.1742363
Aminat Usman,"Corsicana, USA",Dev Tools Builder since 2023,No URL,32.091299,-96.4646821
Amir Hossain,"Dhaka, Bangladesh",Cloud Operations Builder since 2023,https://www.linkedin.com/in/ahshohag/,23.8202931,90.3710408
Amit Duwal,"Kathmandu, Nepal",Machine Learning Builder since 2024,https://www.linkedin.com/in/amit-duwal-696310200/,27.708317,85.3205817
Amit Kayal,"Bangalore, India",Serverless Builder since 2020,https://www.linkedin.com/in/amit-kayal-ab8aa7/,12.9881567,77.6226
Amit Kumta,"Toronto, Canada",Cloud Operations Builder since 2022,https://www.linkedin.com/in/amitkumta/,43.6534817,-79.3839347
Amit Sarkar,"San Jose, California, USA",Machine Learning Builder since 2022,https://www.intelligentcloud.guru/,37.3361663,-121.890591
Amit Tidke,"Bucharest, Romania",Cloud Operations Builder since 2020,https://www.linkedin.com/in/amittidke/,44.4361414,26.1027202
Aml Abdelsalam Amer,"Cairo, Egypt",Storage Builder since 2023,https://www.linkedin.com/in/aml-abdelsalam-717431259,30.0443879,31.2357257
Ammar Alim,"Seattle, USA",Security Builder since 2024,https://www.linkedin.com/in/ammar-alim-6630a977/,47.6038321,-122.330062
Amod Kadam,"Mumbai, India",Containers Builder since 2023,https://www.linkedin.com/in/amodkkadam/,19.054999,72.8692035
Amreth Chandrasehar,"San Jose, USA",Containers Builder since 2022,https://www.linkedin.com/in/amrethc/,37.3361663,-121.890591
Amruta Pardeshi,"Pune, India",Security Builder since 2023,https://www.linkedin.com/in/amruta-pardeshi-658179191/,18.5213738,73.8545071
An Nguyen,"Ho Chi Minh, Vietnam",Serverless Builder since 2022,https://www.linkedin.com/in/nthienan/,10.7763897,106.7011391
Ana Carmiña Mendoza,Mexico,Network Content & Delivery Builder since 2023,http://linkedin.com/in/anacarminamg,23.6585116,-102.0077097
Ana Margarita Medina,Costa Rica,Containers Builder since 2021,https://www.anammedina.com/,10.2735633,-84.0739102
Anaru Pereiha,"Te Whanganui-a-Tara, Aoterora",Dev Tools Builder since 2020,No URL,,
Anas Mohamed,"Cairo, Egypt",Machine Learning Builder since 2023,https://www.linkedin.com/in/anas-mohamed-4317821a7/,30.0443879,31.2357257
Anastasia Kondratieva,Spain,Security Builder since 2022,https://anastasiakondratieva.com/,39.3260685,-4.8379791
Anchal Gupta,"Noida, India",Cloud Operations Builder since 2023,https://www.linkedin.com/in/anchal-gupta-b84416ab/,28.5706333,77.3272147
Anda-Catalina Giraud,Switzerland,Dev Tools Builder since 2022,https://www.linkedin.com/in/anda-catalina/,46.7985624,8.2319736
Anderson Londoño,"Medellin, Colombia",Machine Learning Builder since 2023,https://londoso.com/,6.2697324,-75.6025597
Andra Somesan,"Bucharest, Romania",Serverless Builder since 2021,https://www.linkedin.com/in/andra-glavan-0003ab69/,44.4361414,26.1027202
Andre Ahumada,"Santiago, Chile",Data Builder since 2023,https://www.meetup.com/es/aws-girls-chile-group/,-33.4377756,-70.6504502
Andre Aliaman,"Singapore, Indonesia",Containers Builder since 2023,https://campsite.bio/iilness,1.2992819,103.8227337
Andrea Cavagna,"Milan, Italy",Dev Tools Builder since 2022,https://www.linkedin.com/in/andrea-cavagna-493179139/,45.4641943,9.1896346
Andrea Liao,"Vancouver, Canada",Data Builder since 2023,https://www.linkedin.com/in/andrea-liyu-liao/,49.2608724,-123.113952
Andrea Méndez Ortiz,Chile,Data Builder since 2024,https://www.linkedin.com/in/andreindata/,-31.7613365,-71.3187697
Andreas Jakl,Austria,Machine Learning Builder since 2021,https://www.andreasjakl.com,47.59397,14.12456
Andreas Rütten,Germany,Cloud Operations Builder since 2020,https://www.linkedin.com/in/andreas-ruetten/,51.1638175,10.4478313
Andreas Wittig,Germany,Dev Tools Builder since 2020,https://cloudonaut.io,51.1638175,10.4478313
Andree Toonk,"Vancouver, Canada",Security Builder since 2023,https://toonk.io/,49.2608724,-123.113952
Andreea Merariu,"London, United Kingdom",Serverless Builder since 2023,https://www.linkedin.com/in/andreea-merariu-3b2578196/,51.4893335,-0.1440551
Andres Moreno,México,Serverless Builder since 2020,https://andmore.dev,23.6585116,-102.0077097
Andrew Kalik,"Portland, USA",Data Builder since 2024,https://www.linkedin.com/in/askalik,45.5202471,-122.674194
Andrew Shieh,"Sunnyvale, USA",Cloud Operations Builder since 2020,https://www.linkedin.com/in/shandrew/,37.3688301,-122.036349
Andrey Devyatkin,Sweden and Spain,Security Builder since 2021,https://andreydevyatkin.com,,
Andrii Melashchenko,Germany,Serverless Builder since 2023,https://blog.javatask.dev/,51.1638175,10.4478313
André Cervantes,"Lima, Peru",Security Builder since 2020,https://www.linkedin.com/in/andrev22/,-11.967575,-77.0113689
André Mulin,"Rio de Janeiro, Brazil",Networking & Content Delivery Builder since 2021,https://github.com/andremulin,-22.9110137,-43.2093727
Andrés Montoya,Colombia,Front-End Web & Mobile Builder since 2020,https://github.com/MontoyaAndres,4.099917,-72.9088133
Angelo Colleoni,Italy,Serverless Builder since 2020,https://www.linkedin.com/in/angelo-colleoni/,42.6384261,12.674297
Angelo Mandato,"Columbus, USA",Front-End Web & Mobile Builder since 2021,https://angelo.mandato.com/amazon-web-services/,39.9622601,-83.0007065
Angwe Folester,"Buea, Cameroon",Networking & Content Delivery Builder since 2022,https://www.linkedin.com/in/folester-angwe-78b3b54a/,4.1567895,9.2315915
Anil Augustine Chalissery,"Kerala, India",Containers Builder since 2022,https://anilaugustinechalissery.medium.com/,10.1295438,76.4848521
Anirban Das,"Kolkata, India",Cloud Operations Builder since 2022,https://www.linkedin.com/in/anirban-das-507816169?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,22.5726459,88.3638953
